admin_reference,subsite_store,completed_at,state,payment_state,shipment_state,total,currency,campaign_code,customer_company,bill_city,bill_zipcode,bill_state_name,bill_company,bill_country_iso_name,ship_city,ship_zipcode,ship_state_name,ship_company,ship_country_iso_name,product_name,quantity,sku
O241688621,Godisgruvan,,complete,paid,shipped,10057.0,SEK,,,Lögdeå,91492,,,SE,Lögdeå,91492,,,SE,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,2,SÄL827025
O240643124,,,complete,paid,shipped,2182.0,SEK,,,Stockholm,11130,,,SE,Stockholm,11130,,,SE,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,2,SÄL827025
O596247512,,,complete,paid,shipped,1048.0,SEK,,,Göteborg,41563,,,SE,Göteborg,41563,,,SE,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O930246556,,,complete,paid,shipped,405.0,NOK,,,Kolltveit,5360,,,NO,Kolltveit,5360,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O036639792,,,complete,paid,shipped,386.0,NOK,,,STORD,5412,,,NO,STORD,5412,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O619608535,,,complete,paid,shipped,405.0,NOK,,,Treungen,3855,,,NO,Treungen,3855,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O275612819,,,complete,paid,shipped,2820.0,SEK,,,Floda,44891,,,SE,Floda,44891,,,SE,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O266779084,,,complete,paid,shipped,1163.0,SEK,,,Falköping,52192,,,SE,Falköping,52192,,,SE,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,2,SÄL827025
O623229278,,,complete,paid,shipped,419.0,NOK,,,Dale i Sunnfjord,6963,,,NO,Dale i Sunnfjord,6963,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O633616469,,,complete,paid,shipped,380.0,NOK,,,Steinkjer,7724,,,NO,Steinkjer,7724,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O428028381,,,complete,paid,shipped,397.0,NOK,,,Steinkjer,7724,,,NO,Steinkjer,7724,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O176367888,,,complete,paid,shipped,272.0,NOK,,,Gran,2750,,,NO,Gran,2750,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
O017345242,,,complete,paid,shipped,398.0,NOK,,,Gran,2750,,,NO,Gran,2750,,,NO,SMAKIS ÄPPLE KRAV BRICK 25 cl - 27 st,1,SÄL827025
