subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,198.0,SEK,Landvetter,43832,SE,1,2020,2,1
Klippkungen,shipped,1742.0,SEK,KISTA,16474,SE,1,2020,2,3
Klippkungen,shipped,423.0,SEK,Åmål,66230,SE,1,2020,2,4
Klippkungen,shipped,536.0,SEK,Emmaboda,36130,SE,1,2020,2,4
Klippkungen,shipped,317.0,SEK,Sävsjö,57632,SE,1,2020,2,5
Klippkungen,shipped,311.0,SEK,Borlänge,78445,SE,1,2020,2,5
Klippkungen,shipped,168.0,SEK,Ransta,73373,SE,1,2020,2,6
Klippkungen,shipped,506.0,SEK,Sollentuna,19145,SE,2,2020,2,6
Klippkungen,shipped,317.0,SEK,Älvsbyn,94233,SE,1,2020,2,6
Klippkungen,shipped,347.0,SEK,Gävle,80264,SE,2,2020,2,6
Klippkungen,shipped,168.0,SEK,Partille,43336,SE,1,2020,2,6
Klippkungen,shipped,545.0,SEK,Uppsala,75320,SE,2,2020,2,7
Klippkungen,shipped,437.0,SEK,Bjästa,89392,SE,1,2020,2,7
Klippkungen,shipped,198.0,SEK,Värnamo,331 41,SE,1,2020,2,18
Klippkungen,shipped,1043.0,SEK,Skokloster,74695,SE,1,2020,2,8
Klippkungen,shipped,591.0,SEK,Norrtälje,76174,SE,1,2020,2,8
Klippkungen,shipped,359.0,SEK,Hässleholm,28143,SE,1,2020,2,8
Klippkungen,shipped,1280.01,NOK,Røst,8064,NO,1,2020,2,9
Klippkungen,shipped,416.0,SEK,Sjöbo,27537,SE,1,2020,2,9
Klippkungen,shipped,1450.0,SEK,Skokloster,746 96,SE,1,2020,2,10
Klippkungen,shipped,923.0,SEK,Stockholm,11350,SE,1,2020,2,10
Klippkungen,shipped,923.0,SEK,Stockholm,11350,SE,1,2020,2,10
Klippkungen,shipped,554.0,SEK,Löddeköpinge,24650,SE,1,2020,2,10
Klippkungen,shipped,646.0,SEK,Stockholm,113 33,SE,1,2020,2,11
Klippkungen,shipped,454.0,SEK,Vittsjö,282 66,SE,1,2020,2,11
Klippkungen,shipped,500.0,SEK,Floda,448 37,SE,1,2020,2,17
Klippkungen,shipped,327.0,SEK,Vetlanda,574 35,SE,1,2020,2,14
Klippkungen,shipped,327.0,SEK,Hofors,813 33,SE,1,2020,2,15
Klippkungen,shipped,1497.0,SEK,Frändefors,462 96,SE,1,2020,2,15
Klippkungen,shipped,565.0,SEK,Sorunda,148 97,SE,1,2020,2,15
Klippkungen,shipped,198.0,SEK,Nordmaling,914 91,SE,1,2020,2,15
Klippkungen,shipped,317.0,SEK,Umeå,905 87,SE,1,2020,2,15
Klippkungen,shipped,347.0,SEK,Fellingsbro,732 73,SE,1,2020,2,15
Klippkungen,shipped,574.0,SEK,Örsundsbro,749 62,SE,1,2020,2,15
Klippkungen,shipped,367.0,SEK,Genarp,247 98,SE,1,2020,2,22
Klippkungen,shipped,852.0,SEK,Liden,855 99,SE,1,2020,2,16
Klippkungen,shipped,277.0,SEK,Fredriksdal,571 75,SE,1,2020,2,17
Klippkungen,shipped,704.0,SEK,Västra Frölunda,421 35,SE,1,2020,2,19
Klippkungen,shipped,456.0,SEK,Visby,621 53,SE,1,2020,2,17
Klippkungen,shipped,654.0,SEK,Köping,731 95,SE,1,2020,2,18
Klippkungen,shipped,654.0,SEK,Köping,731 95,SE,1,2020,2,18
Klippkungen,shipped,844.99,NOK,Sortland,8402,NO,1,2020,2,18
Klippkungen,shipped,51.0,EUR,Raahe,86400,FI,1,2020,2,18
Klippkungen,shipped,6692.0,SEK,Stockholm,111 34,SE,4,2020,2,19
Klippkungen,shipped,168.0,SEK,Saltsjö-Boo,132 41,SE,1,2020,2,19
Klippkungen,shipped,437.0,SEK,Järfälla,177 52,SE,1,2020,2,22
Klippkungen,shipped,496.0,SEK,Borlänge,784 68,SE,1,2020,2,20
Klippkungen,shipped,4499.0,SEK,Edsvalla,664 93,SE,1,2020,2,21
Klippkungen,shipped,1184.0,SEK,Kävlinge,244 31,SE,1,2020,2,20
Klippkungen,shipped,545.0,SEK,Örsundsbro,749 62,SE,1,2020,2,20
Klippkungen,shipped,341.0,SEK,Göteborg,418 71,SE,1,2020,2,21
Klippkungen,shipped,306.0,SEK,Trelleborg,231 64,SE,1,2020,2,28
Klippkungen,shipped,568.0,SEK,Storuman,923 32,SE,1,2020,2,21
Klippkungen,shipped,530.0,SEK,Figeholm,572 95,SE,1,2020,2,22
Klippkungen,shipped,530.0,SEK,Figeholm,572 95,SE,1,2020,2,22
Klippkungen,shipped,377.0,SEK,Gävle,806 32,SE,1,2020,2,21
Klippkungen,shipped,625.0,SEK,Katrineholm,641 91,SE,1,2020,2,23
Klippkungen,shipped,642.0,SEK,Eslöv,241 33,SE,1,2020,2,27
Klippkungen,shipped,1043.0,SEK,Härnösand,871 62,SE,1,2020,2,23
Klippkungen,shipped,555.0,SEK,Höganäs,263 36,SE,1,2020,2,28
Klippkungen,shipped,371.0,DKK,Frederikssund,3600,DK,1,2020,2,23
Klippkungen,shipped,377.0,SEK,Mölndal,431 35,SE,1,2020,2,24
Klippkungen,shipped,393.0,DKK,Hjørring,9800,DK,2,2020,2,24
Klippkungen,shipped,424.0,SEK,Karlskoga,691 35,SE,1,2020,3,24
